id,airport,lon,lat
1,CJJ,127.4990005,36.71659851
7,CJJ,127.4990005,36.71659851
45,CJJ,127.4990005,36.71659851
77,CJJ,127.4990005,36.71659851
2,CJJ,127.4990005,36.71659851
8,CJJ,127.4990005,36.71659851
46,CJJ,127.4990005,36.71659851
78,CJJ,127.4990005,36.71659851
2,CJU,126.4929962,33.51129913
3,CJU,126.4929962,33.51129913
4,CJU,126.4929962,33.51129913
8,CJU,126.4929962,33.51129913
9,CJU,126.4929962,33.51129913
10,CJU,126.4929962,33.51129913
11,CJU,126.4929962,33.51129913
12,CJU,126.4929962,33.51129913
13,CJU,126.4929962,33.51129913
14,CJU,126.4929962,33.51129913
15,CJU,126.4929962,33.51129913
16,CJU,126.4929962,33.51129913
17,CJU,126.4929962,33.51129913
18,CJU,126.4929962,33.51129913
43,CJU,126.4929962,33.51129913
46,CJU,126.4929962,33.51129913
47,CJU,126.4929962,33.51129913
48,CJU,126.4929962,33.51129913
49,CJU,126.4929962,33.51129913
50,CJU,126.4929962,33.51129913
51,CJU,126.4929962,33.51129913
52,CJU,126.4929962,33.51129913
53,CJU,126.4929962,33.51129913
54,CJU,126.4929962,33.51129913
73,CJU,126.4929962,33.51129913
74,CJU,126.4929962,33.51129913
78,CJU,126.4929962,33.51129913
79,CJU,126.4929962,33.51129913
80,CJU,126.4929962,33.51129913
1,CJU,126.4929962,33.51129913
5,CJU,126.4929962,33.51129913
6,CJU,126.4929962,33.51129913
7,CJU,126.4929962,33.51129913
19,CJU,126.4929962,33.51129913
26,CJU,126.4929962,33.51129913
28,CJU,126.4929962,33.51129913
31,CJU,126.4929962,33.51129913
32,CJU,126.4929962,33.51129913
34,CJU,126.4929962,33.51129913
36,CJU,126.4929962,33.51129913
38,CJU,126.4929962,33.51129913
40,CJU,126.4929962,33.51129913
42,CJU,126.4929962,33.51129913
44,CJU,126.4929962,33.51129913
45,CJU,126.4929962,33.51129913
55,CJU,126.4929962,33.51129913
61,CJU,126.4929962,33.51129913
62,CJU,126.4929962,33.51129913
63,CJU,126.4929962,33.51129913
65,CJU,126.4929962,33.51129913
67,CJU,126.4929962,33.51129913
68,CJU,126.4929962,33.51129913
71,CJU,126.4929962,33.51129913
75,CJU,126.4929962,33.51129913
76,CJU,126.4929962,33.51129913
77,CJU,126.4929962,33.51129913
81,CJU,126.4929962,33.51129913
82,CJU,126.4929962,33.51129913
5,GMP,126.7910004,37.55830002
19,GMP,126.7910004,37.55830002
20,GMP,126.7910004,37.55830002
21,GMP,126.7910004,37.55830002
22,GMP,126.7910004,37.55830002
23,GMP,126.7910004,37.55830002
24,GMP,126.7910004,37.55830002
25,GMP,126.7910004,37.55830002
44,GMP,126.7910004,37.55830002
55,GMP,126.7910004,37.55830002
56,GMP,126.7910004,37.55830002
